0.05 	0.0003125 	0.005 	-0.00219955 	3.49735e-07 	0
0.05 	0.0009375 	0.005 	-0.0064689 	2.38762e-06 	0
0.05 	0.0015625 	0.005 	-0.0106164 	6.85982e-06 	0
0.05 	0.0021875 	0.005 	-0.0146491 	1.33669e-05 	0
0.05 	0.0028125 	0.005 	-0.0185735 	2.16974e-05 	0
0.05 	0.0034375 	0.005 	-0.0223958 	3.17437e-05 	0
0.05 	0.0040625 	0.005 	-0.026122 	4.34e-05 	0
0.05 	0.0046875 	0.005 	-0.0297578 	5.6568e-05 	0
0.05 	0.0053125 	0.005 	-0.0333086 	7.11633e-05 	0
0.05 	0.0059375 	0.005 	-0.0367794 	8.71146e-05 	0
0.05 	0.0065625 	0.005 	-0.0401753 	0.000104363 	0
0.05 	0.0071875 	0.005 	-0.043501 	0.000122861 	0
0.05 	0.0078125 	0.005 	-0.0467608 	0.000142572 	0
0.05 	0.0084375 	0.005 	-0.049959 	0.000163472 	0
0.05 	0.0090625 	0.005 	-0.0530997 	0.000185545 	0
0.05 	0.0096875 	0.005 	-0.0561867 	0.000208788 	0
0.05 	0.0103125 	0.005 	-0.0592236 	0.000233207 	0
0.05 	0.0109375 	0.005 	-0.0622139 	0.000258816 	0
0.05 	0.0115625 	0.005 	-0.0651609 	0.000285641 	0
0.05 	0.0121875 	0.005 	-0.0680677 	0.000313714 	0
0.05 	0.0128125 	0.005 	-0.0709373 	0.00034308 	0
0.05 	0.0134375 	0.005 	-0.0737724 	0.000373788 	0
0.05 	0.0140625 	0.005 	-0.0765757 	0.000405899 	0
0.05 	0.0146875 	0.005 	-0.0793497 	0.000439481 	0
0.05 	0.0153125 	0.005 	-0.0820967 	0.00047461 	0
0.05 	0.0159375 	0.005 	-0.0848189 	0.000511368 	0
0.05 	0.0165625 	0.005 	-0.0875184 	0.000549848 	0
0.05 	0.0171875 	0.005 	-0.0901971 	0.000590148 	0
0.05 	0.0178125 	0.005 	-0.0928568 	0.000632373 	0
0.05 	0.0184375 	0.005 	-0.0954992 	0.000676638 	0
0.05 	0.0190625 	0.005 	-0.0981258 	0.000723062 	0
0.05 	0.0196875 	0.005 	-0.100738 	0.000771771 	0
0.05 	0.0203125 	0.005 	-0.103337 	0.000822898 	0
0.05 	0.0209375 	0.005 	-0.105924 	0.000876584 	0
0.05 	0.0215625 	0.005 	-0.108501 	0.000932972 	0
0.05 	0.0221875 	0.005 	-0.111067 	0.000992215 	0
0.05 	0.0228125 	0.005 	-0.113624 	0.00105447 	0
0.05 	0.0234375 	0.005 	-0.116173 	0.0011199 	0
0.05 	0.0240625 	0.005 	-0.118714 	0.00118867 	0
0.05 	0.0246875 	0.005 	-0.121247 	0.00126095 	0
0.05 	0.0253125 	0.005 	-0.123773 	0.00133693 	0
0.05 	0.0259375 	0.005 	-0.126292 	0.00141678 	0
0.05 	0.0265625 	0.005 	-0.128804 	0.00150069 	0
0.05 	0.0271875 	0.005 	-0.131309 	0.00158884 	0
0.05 	0.0278125 	0.005 	-0.133807 	0.00168143 	0
0.05 	0.0284375 	0.005 	-0.136298 	0.00177865 	0
0.05 	0.0290625 	0.005 	-0.13878 	0.00188071 	0
0.05 	0.0296875 	0.005 	-0.141254 	0.00198779 	0
0.05 	0.0303125 	0.005 	-0.143719 	0.0021001 	0
0.05 	0.0309375 	0.005 	-0.146174 	0.00221784 	0
0.05 	0.0315625 	0.005 	-0.148618 	0.00234121 	0
0.05 	0.0321875 	0.005 	-0.15105 	0.00247041 	0
0.05 	0.0328125 	0.005 	-0.153468 	0.00260564 	0
0.05 	0.0334375 	0.005 	-0.155871 	0.0027471 	0
0.05 	0.0340625 	0.005 	-0.158259 	0.00289497 	0
0.05 	0.0346875 	0.005 	-0.160627 	0.00304945 	0
0.05 	0.0353125 	0.005 	-0.162976 	0.00321073 	0
0.05 	0.0359375 	0.005 	-0.165303 	0.00337898 	0
0.05 	0.0365625 	0.005 	-0.167606 	0.00355438 	0
0.05 	0.0371875 	0.005 	-0.169882 	0.0037371 	0
0.05 	0.0378125 	0.005 	-0.172129 	0.00392728 	0
0.05 	0.0384375 	0.005 	-0.174344 	0.00412509 	0
0.05 	0.0390625 	0.005 	-0.176524 	0.00433065 	0
0.05 	0.0396875 	0.005 	-0.178667 	0.00454408 	0
0.05 	0.0403125 	0.005 	-0.180768 	0.00476551 	0
0.05 	0.0409375 	0.005 	-0.182825 	0.00499501 	0
0.05 	0.0415625 	0.005 	-0.184834 	0.00523268 	0
0.05 	0.0421875 	0.005 	-0.18679 	0.00547857 	0
0.05 	0.0428125 	0.005 	-0.18869 	0.00573271 	0
0.05 	0.0434375 	0.005 	-0.19053 	0.00599514 	0
0.05 	0.0440625 	0.005 	-0.192305 	0.00626584 	0
0.05 	0.0446875 	0.005 	-0.19401 	0.00654479 	0
0.05 	0.0453125 	0.005 	-0.19564 	0.00683193 	0
0.05 	0.0459375 	0.005 	-0.197191 	0.00712717 	0
0.05 	0.0465625 	0.005 	-0.198656 	0.00743041 	0
0.05 	0.0471875 	0.005 	-0.200031 	0.00774149 	0
0.05 	0.0478125 	0.005 	-0.201309 	0.00806024 	0
0.05 	0.0484375 	0.005 	-0.202484 	0.00838644 	0
0.05 	0.0490625 	0.005 	-0.203549 	0.00871984 	0
0.05 	0.0496875 	0.005 	-0.204499 	0.00906015 	0
0.05 	0.0503125 	0.005 	-0.205325 	0.00940702 	0
0.05 	0.0509375 	0.005 	-0.206022 	0.00976009 	0
0.05 	0.0515625 	0.005 	-0.206581 	0.0101189 	0
