0.05 	0.0003125 	0.005 	0.00190592
0.05 	0.0009375 	0.005 	0.00190937
0.05 	0.0015625 	0.005 	0.00191189
0.05 	0.0021875 	0.005 	0.00191375
0.05 	0.0028125 	0.005 	0.00191518
0.05 	0.0034375 	0.005 	0.00191615
0.05 	0.0040625 	0.005 	0.00191663
0.05 	0.0046875 	0.005 	0.00191661
0.05 	0.0053125 	0.005 	0.00191606
0.05 	0.0059375 	0.005 	0.00191498
0.05 	0.0065625 	0.005 	0.00191336
0.05 	0.0071875 	0.005 	0.00191116
0.05 	0.0078125 	0.005 	0.00190839
0.05 	0.0084375 	0.005 	0.00190502
0.05 	0.0090625 	0.005 	0.00190106
0.05 	0.0096875 	0.005 	0.00189648
0.05 	0.0103125 	0.005 	0.00189127
0.05 	0.0109375 	0.005 	0.00188544
0.05 	0.0115625 	0.005 	0.00187896
0.05 	0.0121875 	0.005 	0.00187184
0.05 	0.0128125 	0.005 	0.00186406
0.05 	0.0134375 	0.005 	0.00185562
0.05 	0.0140625 	0.005 	0.00184649
0.05 	0.0146875 	0.005 	0.00183668
0.05 	0.0153125 	0.005 	0.00182617
0.05 	0.0159375 	0.005 	0.00181495
0.05 	0.0165625 	0.005 	0.00180299
0.05 	0.0171875 	0.005 	0.00179029
0.05 	0.0178125 	0.005 	0.00177681
0.05 	0.0184375 	0.005 	0.00176254
0.05 	0.0190625 	0.005 	0.00174745
0.05 	0.0196875 	0.005 	0.00173151
0.05 	0.0203125 	0.005 	0.00171469
0.05 	0.0209375 	0.005 	0.00169697
0.05 	0.0215625 	0.005 	0.00167829
0.05 	0.0221875 	0.005 	0.00165863
0.05 	0.0228125 	0.005 	0.00163795
0.05 	0.0234375 	0.005 	0.00161621
0.05 	0.0240625 	0.005 	0.00159335
0.05 	0.0246875 	0.005 	0.00156934
0.05 	0.0253125 	0.005 	0.00154412
0.05 	0.0259375 	0.005 	0.00151764
0.05 	0.0265625 	0.005 	0.00148985
0.05 	0.0271875 	0.005 	0.00146067
0.05 	0.0278125 	0.005 	0.00143006
0.05 	0.0284375 	0.005 	0.00139795
0.05 	0.0290625 	0.005 	0.00136426
0.05 	0.0296875 	0.005 	0.00132893
0.05 	0.0303125 	0.005 	0.00129188
0.05 	0.0309375 	0.005 	0.00125304
0.05 	0.0315625 	0.005 	0.00121231
0.05 	0.0321875 	0.005 	0.00116961
0.05 	0.0328125 	0.005 	0.00112486
0.05 	0.0334375 	0.005 	0.00107795
0.05 	0.0340625 	0.005 	0.0010288
0.05 	0.0346875 	0.005 	0.000977305
0.05 	0.0353125 	0.005 	0.000923357
0.05 	0.0359375 	0.005 	0.000866851
0.05 	0.0365625 	0.005 	0.000807675
0.05 	0.0371875 	0.005 	0.000745715
0.05 	0.0378125 	0.005 	0.000680851
0.05 	0.0384375 	0.005 	0.000612962
0.05 	0.0390625 	0.005 	0.000541921
0.05 	0.0396875 	0.005 	0.0004676
0.05 	0.0403125 	0.005 	0.000389864
0.05 	0.0409375 	0.005 	0.000308577
0.05 	0.0415625 	0.005 	0.000223598
0.05 	0.0421875 	0.005 	0.000134784
0.05 	0.0428125 	0.005 	4.1988e-05
0.05 	0.0434375 	0.005 	-5.49379e-05
0.05 	0.0440625 	0.005 	-0.000156146
